like_count,published_at,author,text,clean_text
2,2026-01-25T09:33:29Z,@mnyavuz,Merhaba. Dolar ve Euro dışında altın hesabım da var. Bunu da göstermek mantıklı olur mu ek olarak. Hesapta yeterli miktarda altın var çünkü,merhaba dolar euro dışında altın hesabım bunu göstermek mantıklı olur ek hesapta yeterli miktarda altın
2,2026-01-06T09:15:40Z,@bbatuhankayaa,"merhaba, detaylı anlatım için teşekkürler, bize de eşimle bu süreçteyiz de bir sorum olacaktı. Bu belgeleri aldığımız tarihin güncel olması gibi bir husus var biliyorsunuz, ne kadar güncel olmalı mesela? Örneğin mart ayının başında randevumuz varsa belgeleri ne zaman toplamak daha uygun olacaktır bilginiz var mıdır? Teşkkürler şimdiden.",merhaba detaylı anlatım teşekkürler bize eşimle süreçteyiz sorum olacaktı belgeleri aldığımız tarihin güncel olması husus biliyorsunuz ne kadar güncel olmalı mesela örneğin mart ayının başında randevumuz varsa belgeleri ne zaman toplamak uygun olacaktır bilginiz mıdır teşkkürler şimdiden
1,2026-02-14T10:47:23Z,@aleyna_ergn,Hangi siteden basvuru yapıyoruz,hangi siteden basvuru yapıyoruz
1,2025-12-11T10:54:18Z,@ozlemacar6360,"ben 3 aydır çalışıyorum, son 6 aylık maaş bordrom yok. Sıkıntı olur mu acaba?",3 aydır çalışıyorum son 6 aylık maaş bordrom sıkıntı olur acaba
1,2025-12-27T16:30:38Z,@AsyaAslan-vh2pz,Pasaport un bütün sayfalarını mı yüklüyoruz sistemden,pasaport un bütün sayfalarını yüklüyoruz sistemden
1,2026-01-19T06:42:16Z,@birkusungozunden,Merhaba başvuru formunu doldurunca sizi VFS sayfasına yönlendiriyor,merhaba başvuru formunu doldurunca sizi vfs sayfasına yönlendiriyor
1,2026-01-17T14:16:22Z,@Teknedeyiz,"Merhaba,
Hangi siteye yüklediniz bu evrakları?",merhaba hangi siteye yüklediniz evrakları
1,2026-01-22T09:59:17Z,@muhammedoncul5015,"Merhaba bir sorum var;
Ziraat bankası şubesine gittiğimde imza kaşe basmıyoruz artık, zaten elektronik imzalı dediler. Bu sorun olur mu?",merhaba sorum ziraat bankası şubesine gittiğimde imza kaşe basmıyoruz artık zaten elektronik imzalı dediler sorun olur
1,2025-12-17T17:18:41Z,@Sportif44,Sizin verdiğiniz bilgileri takip ederek başvurumu yaptım. 12 Aralık 2025 tarihinde randevuya gittim. Şu an 5 gün geçti bekliyoruz. Yılbaşında uçak biletim var inşallah yetişir vizem. Kaç günde gelir acaba 30 Aralık tarihine kadar gelebilir mi? 12 Aralık randevu tarihim.,sizin verdiğiniz bilgileri takip ederek başvurumu yaptım 12 aralık 2025 tarihinde randevuya gittim an 5 gün geçti bekliyoruz yılbaşında uçak biletim inşallah yetişir vizem kaç günde gelir acaba 30 aralık tarihine kadar gelebilir 12 aralık randevu tarihim
1,2025-12-17T07:09:00Z,@sevgidolaman,@birkusungozundençok teşekkür ederim. Gerçekten çok iyi geldiniz  bana,teşekkür ederim gerçekten iyi geldiniz bana
1,2025-12-17T07:03:41Z,@sevgidolaman,@birkusungozunden peki niyet mektubunuzu yeminli tercümanlı mı verdiniz?,peki niyet mektubunuzu yeminli tercümanlı verdiniz
1,2025-12-17T05:49:23Z,@sevgidolaman,"Merhaba, video için öncelikle çok teşekkür ederim. Vize başvurularına dair  devlet memurları için bilgilendirici video bulmak çölde su bulmak kadar zor olabiliyor bazen :) devlet memuru başvurunuz sırasında hangi belgeleri İngilizce ve yeminli tercümanlı İngilizce olarak sunduğunuzu öğrenebilir miyim? Teşekkür ederim şimdiden.",merhaba video öncelikle teşekkür ederim vize başvurularına dair devlet memurları bilgilendirici video bulmak çölde su bulmak kadar zor olabiliyor bazen devlet memuru başvurunuz sırasında hangi belgeleri i ngilizce yeminli tercümanlı i ngilizce sunduğunuzu öğrenebilir miyim teşekkür ederim şimdiden
1,2025-12-02T15:05:11Z,@Sportif44,"@birkusungozundençok çok teşekkür ederim hocam, sonucu paylaşacağım inşallah sizlerle",teşekkür ederim hocam sonucu paylaşacağım inşallah sizlerle
1,2025-12-02T14:45:32Z,@Sportif44,"Hayırlı olsun, otel rezervasyonu zorunlu mu acaba , bana kardeşim tarafından davet mektubu geldi ve ben şu tarihler arasında (10 günlük) kardeşimin yanında kalacağım diye mektupta belirtiliyor. Sadece uçak bileti alacağım. Otel rezervasyonum olmayacak dolayısıyla, yine de yapmamı önerir misiniz. Rezervasyon Yaparsam mektupdaki ifade yalan olmuş olacak o zaman.",hayırlı olsun otel rezervasyonu zorunlu acaba bana kardeşim tarafından davet mektubu geldi tarihler arasında 10 günlük kardeşimin yanında kalacağım diye mektupta belirtiliyor sadece uçak bileti alacağım otel rezervasyonum olmayacak dolayısıyla yine yapmamı önerir misiniz rezervasyon yaparsam mektupdaki ifade yalan olmuş olacak zaman
1,2026-01-06T08:07:27Z,@FatihDemir-f7j,pasaportunda schengen ülkeleri olmadan uk vizesi alan oluyor mu acaba,pasaportunda schengen ülkeleri olmadan uk vizesi alan oluyor acaba
